year,state,signals,cases,population,signals:100k,cases:100k,cases:signal,signals:case
2016,Alabama,204,48,4866824,4.19,0.99,0.2352941176470588,4.25
2017,Alabama,229,70,4877989,4.69,1.44,0.3056768558951965,3.271428571428572
2018,Alabama,265,91,4891628,5.42,1.86,0.3433962264150943,2.912087912087912
2019,Alabama,299,84,4907965,6.09,1.71,0.2809364548494983,3.5595238095238093
2020,Alabama,261,87,5031864,5.19,1.73,0.3333333333333333,3.0
2021,Alabama,285,80,5050380,5.64,1.58,0.2807017543859649,3.5625
2016,Alaska,64,11,742575,8.62,1.48,0.171875,5.818181818181818
2017,Alaska,54,9,740983,7.29,1.21,0.1666666666666666,6.0
2018,Alaska,71,19,736624,9.64,2.58,0.2676056338028169,3.736842105263158
2019,Alaska,58,15,733603,7.91,2.04,0.2586206896551724,3.8666666666666663
2020,Alaska,59,22,732964,8.05,3.0,0.3728813559322034,2.6818181818181817
2021,Alaska,81,16,734923,11.02,2.18,0.1975308641975308,5.0625
2016,Arizona,539,151,6944767,7.76,2.17,0.2801484230055658,3.5695364238410594
2017,Arizona,521,185,7048088,7.39,2.62,0.3550863723608445,2.8162162162162163
2018,Arizona,522,232,7164228,7.29,3.24,0.4444444444444444,2.25
2019,Arizona,663,231,7291843,9.09,3.17,0.3484162895927601,2.8701298701298703
2020,Arizona,615,193,7186683,8.56,2.69,0.3138211382113821,3.186528497409326
2021,Arizona,651,217,7272487,8.95,2.98,0.3333333333333333,3.0
2016,Arkansas,160,48,2991815,5.35,1.6,0.3,3.333333333333333
2017,Arkansas,169,46,3003855,5.63,1.53,0.272189349112426,3.6739130434782608
2018,Arkansas,211,84,3012161,7.0,2.79,0.3981042654028436,2.511904761904762
2019,Arkansas,231,86,3020985,7.65,2.85,0.3722943722943723,2.686046511627907
2020,Arkansas,330,100,3014348,10.95,3.32,0.303030303030303,3.3
2021,Arkansas,270,74,3028443,8.92,2.44,0.2740740740740741,3.6486486486486487
2016,California,4651,1355,39149186,11.88,3.46,0.2913351967318856,3.432472324723247
2017,California,4888,1337,39337785,12.43,3.4,0.2735270049099836,3.655946148092745
2018,California,4649,1651,39437463,11.79,4.19,0.3551301355130135,2.815869170199879
2019,California,4943,1518,39437610,12.53,3.85,0.3071009508395711,3.256258234519104
2020,California,5053,1336,39503200,12.79,3.38,0.2643973876904809,3.782185628742515
2021,California,5257,1334,39145060,13.43,3.41,0.2537568955678143,3.940779610194903
2016,Colorado,507,129,5543844,9.15,2.33,0.2544378698224852,3.930232558139535
2017,Colorado,493,121,5617421,8.78,2.15,0.2454361054766734,4.074380165289257
2018,Colorado,587,179,5697155,10.3,3.14,0.3049403747870528,3.2793296089385477
2019,Colorado,552,181,5758486,9.59,3.14,0.3278985507246377,3.0497237569060776
2020,Colorado,616,138,5785219,10.65,2.39,0.224025974025974,4.463768115942029
2021,Colorado,602,150,5811596,10.36,2.58,0.2491694352159468,4.013333333333334
2016,Connecticut,215,55,3579830,6.01,1.54,0.2558139534883721,3.909090909090909
2017,Connecticut,194,61,3575324,5.43,1.71,0.3144329896907216,3.180327868852459
2018,Connecticut,184,56,3574561,5.15,1.57,0.3043478260869565,3.2857142857142856
2019,Connecticut,167,54,3566022,4.68,1.51,0.3233532934131736,3.092592592592593
2020,Connecticut,211,49,3577586,5.9,1.37,0.2322274881516587,4.306122448979592
2021,Connecticut,170,54,3603691,4.72,1.5,0.3176470588235294,3.1481481481481484
2016,Delaware,68,21,949989,7.16,2.21,0.3088235294117647,3.238095238095238
2017,Delaware,58,24,957942,6.05,2.51,0.4137931034482758,2.4166666666666665
2018,Delaware,87,39,966985,9.0,4.03,0.4482758620689655,2.230769230769231
2019,Delaware,81,37,976668,8.29,3.79,0.4567901234567901,2.189189189189189
2020,Delaware,131,27,991862,13.21,2.72,0.2061068702290076,4.851851851851852
2021,Delaware,93,31,1004881,9.25,3.08,0.3333333333333333,3.0
2016,District of Columbia,392,85,687576,57.01,12.36,0.2168367346938775,4.6117647058823525
2017,District of Columbia,296,70,697079,42.46,10.04,0.2364864864864864,4.228571428571429
2018,District of Columbia,255,86,704147,36.21,12.21,0.3372549019607843,2.9651162790697674
2019,District of Columbia,207,78,708253,29.23,11.01,0.3768115942028985,2.6538461538461537
2020,District of Columbia,195,41,670839,29.07,6.11,0.2102564102564102,4.7560975609756095
2021,District of Columbia,175,44,669037,26.16,6.58,0.2514285714285714,3.977272727272727
2016,Florida,1790,562,20627237,8.68,2.72,0.3139664804469274,3.185053380782918
2017,Florida,1946,623,20977089,9.28,2.97,0.3201438848920863,3.1235955056179776
2018,Florida,1982,762,21254926,9.32,3.59,0.384460141271443,2.6010498687664043
2019,Florida,2221,898,21492056,10.33,4.18,0.4043223773075191,2.473273942093541
2020,Florida,2480,745,21591299,11.49,3.45,0.3004032258064516,3.3288590604026846
2021,Florida,2894,781,21830708,13.26,3.58,0.2698686938493435,3.70550576184379
2016,Georgia,763,260,10308442,7.4,2.52,0.3407601572739187,2.9346153846153844
2017,Georgia,898,289,10417031,8.62,2.77,0.321826280623608,3.1072664359861597
2018,Georgia,926,376,10519389,8.8,3.57,0.4060475161987041,2.4627659574468086
2019,Georgia,1144,425,10628020,10.76,4.0,0.3715034965034965,2.691764705882353
2020,Georgia,1114,338,10732390,10.38,3.15,0.3034111310592459,3.2958579881656807
2021,Georgia,1073,281,10790385,9.94,2.6,0.2618825722273998,3.818505338078292
2016,Hawaii,70,31,1428885,4.9,2.17,0.4428571428571428,2.2580645161290325
2017,Hawaii,89,28,1425763,6.24,1.96,0.3146067415730337,3.1785714285714284
2018,Hawaii,109,47,1423102,7.66,3.3,0.4311926605504587,2.3191489361702127
2019,Hawaii,122,35,1415615,8.62,2.47,0.2868852459016393,3.4857142857142858
2020,Hawaii,110,40,1451181,7.58,2.76,0.3636363636363636,2.75
2021,Hawaii,90,30,1446745,6.22,2.07,0.3333333333333333,3.0
2016,Idaho,75,15,1684036,4.45,0.89,0.2,5.0
2017,Idaho,67,13,1719745,3.9,0.76,0.1940298507462686,5.153846153846154
2018,Idaho,84,26,1752074,4.79,1.48,0.3095238095238095,3.230769230769231
2019,Idaho,60,27,1789060,3.35,1.51,0.45,2.2222222222222223
2020,Idaho,99,29,1849339,5.35,1.57,0.2929292929292929,3.413793103448276
2021,Idaho,109,33,1904537,5.72,1.73,0.3027522935779816,3.303030303030303
2016,Illinois,725,210,12821709,5.65,1.64,0.2896551724137931,3.452380952380953
2017,Illinois,786,204,12779893,6.15,1.6,0.2595419847328244,3.852941176470588
2018,Illinois,937,295,12724685,7.36,2.32,0.3148345784418356,3.176271186440678
2019,Illinois,922,269,12667017,7.28,2.12,0.2917570498915401,3.4275092936802976
2020,Illinois,945,251,12790357,7.39,1.96,0.2656084656084656,3.764940239043825
2021,Illinois,929,243,12690341,7.32,1.91,0.2615715823466092,3.823045267489712
2016,Indiana,307,86,6637898,4.62,1.3,0.2801302931596091,3.569767441860465
2017,Indiana,359,97,6662068,5.39,1.46,0.2701949860724233,3.701030927835052
2018,Indiana,373,142,6698481,5.57,2.12,0.3806970509383378,2.626760563380281
2019,Indiana,349,156,6731010,5.18,2.32,0.4469914040114613,2.2371794871794872
2020,Indiana,537,140,6789098,7.91,2.06,0.260707635009311,3.835714285714286
2021,Indiana,467,123,6813798,6.85,1.81,0.2633832976445396,3.796747967479675
2016,Iowa,230,74,3133210,7.34,2.36,0.3217391304347826,3.108108108108108
2017,Iowa,278,78,3143734,8.84,2.48,0.2805755395683453,3.5641025641025643
2018,Iowa,292,102,3149900,9.27,3.24,0.3493150684931507,2.862745098039216
2019,Iowa,258,99,3159596,8.17,3.13,0.3837209302325581,2.606060606060606
2020,Iowa,327,78,3190904,10.25,2.44,0.2385321100917431,4.1923076923076925
2021,Iowa,299,86,3197944,9.35,2.69,0.2876254180602006,3.476744186046512
2016,Kansas,221,55,2912977,7.59,1.89,0.248868778280543,4.0181818181818185
2017,Kansas,262,70,2910892,9.0,2.4,0.2671755725190839,3.742857142857143
2018,Kansas,241,94,2912748,8.27,3.23,0.3900414937759336,2.5638297872340425
2019,Kansas,246,94,2912635,8.45,3.23,0.3821138211382114,2.617021276595745
2020,Kansas,395,87,2938124,13.44,2.96,0.220253164556962,4.540229885057471
2021,Kansas,274,85,2937946,9.33,2.89,0.3102189781021898,3.223529411764706
2016,Kentucky,335,88,4440306,7.54,1.98,0.2626865671641791,3.8068181818181817
2017,Kentucky,427,82,4455590,9.58,1.84,0.1920374707259953,5.2073170731707314
2018,Kentucky,530,143,4464273,11.87,3.2,0.269811320754717,3.706293706293706
2019,Kentucky,603,138,4472345,13.48,3.09,0.2288557213930348,4.369565217391305
2020,Kentucky,413,101,4508155,9.16,2.24,0.2445520581113801,4.089108910891089
2021,Kentucky,353,115,4507600,7.83,2.55,0.3257790368271954,3.0695652173913044
2016,Louisiana,374,113,4681346,7.99,2.41,0.302139037433155,3.309734513274336
2017,Louisiana,330,113,4673673,7.06,2.42,0.3424242424242424,2.920353982300885
2018,Louisiana,303,149,4664450,6.5,3.19,0.4917491749174917,2.033557046979866
2019,Louisiana,312,157,4658285,6.7,3.37,0.5032051282051282,1.9872611464968155
2020,Louisiana,366,103,4652022,7.87,2.21,0.2814207650273224,3.5533980582524274
2021,Louisiana,375,126,4627047,8.1,2.72,0.336,2.9761904761904763
2016,Maine,59,18,1332348,4.43,1.35,0.3050847457627119,3.2777777777777777
2017,Maine,69,19,1335743,5.17,1.42,0.2753623188405797,3.631578947368421
2018,Maine,83,35,1340123,6.19,2.61,0.4216867469879518,2.3714285714285714
2019,Maine,87,35,1345770,6.46,2.6,0.4022988505747126,2.4857142857142858
2020,Maine,99,27,1364517,7.26,1.98,0.2727272727272727,3.6666666666666665
2021,Maine,175,31,1378787,12.69,2.25,0.1771428571428571,5.645161290322581
2016,Maryland,591,166,6007014,9.84,2.76,0.2808798646362098,3.560240963855421
2017,Maryland,507,122,6028186,8.41,2.02,0.2406311637080868,4.155737704918033
2018,Maryland,490,171,6042153,8.11,2.83,0.3489795918367347,2.865497076023392
2019,Maryland,565,188,6054954,9.33,3.1,0.3327433628318584,3.00531914893617
2020,Maryland,558,135,6173689,9.04,2.19,0.2419354838709677,4.133333333333334
2021,Maryland,751,118,6175045,12.16,1.91,0.1571238348868175,6.364406779661017
2016,Massachusetts,313,90,6827280,4.58,1.32,0.2875399361022364,3.477777777777778
2017,Massachusetts,419,99,6863560,6.1,1.44,0.2362768496420047,4.232323232323233
2018,Massachusetts,290,116,6885720,4.21,1.68,0.4,2.5
2019,Massachusetts,329,106,6894883,4.77,1.54,0.3221884498480243,3.10377358490566
2020,Massachusetts,227,82,6997713,3.24,1.17,0.3612334801762114,2.768292682926829
2021,Massachusetts,339,93,6991951,4.85,1.33,0.2743362831858407,3.645161290322581
2016,Michigan,922,254,9954117,9.26,2.55,0.2754880694143167,3.62992125984252
2017,Michigan,1128,314,9976752,11.31,3.15,0.2783687943262411,3.5923566878980893
2018,Michigan,1091,384,9987286,10.92,3.84,0.3519706691109074,2.841145833333333
2019,Michigan,970,361,9984795,9.71,3.62,0.3721649484536082,2.6869806094182827
2020,Michigan,894,290,10070627,8.88,2.88,0.3243847874720358,3.082758620689656
2021,Michigan,1186,295,10038117,11.81,2.94,0.2487352445193929,4.020338983050848
2016,Minnesota,367,69,5525360,6.64,1.25,0.1880108991825613,5.318840579710145
2017,Minnesota,308,78,5569283,5.53,1.4,0.2532467532467532,3.948717948717949
2018,Minnesota,331,123,5608762,5.9,2.19,0.3716012084592145,2.6910569105691056
2019,Minnesota,304,106,5640053,5.39,1.88,0.3486842105263157,2.8679245283018866
2020,Minnesota,359,88,5710578,6.29,1.54,0.245125348189415,4.079545454545454
2021,Minnesota,335,98,5717968,5.86,1.71,0.2925373134328358,3.4183673469387754
2016,Mississippi,124,55,2990595,4.15,1.84,0.4435483870967742,2.2545454545454544
2017,Mississippi,107,42,2990674,3.58,1.4,0.3925233644859813,2.5476190476190474
2018,Mississippi,221,87,2982879,7.41,2.92,0.3936651583710407,2.5402298850574714
2019,Mississippi,371,147,2978227,12.46,4.94,0.3962264150943396,2.523809523809524
2020,Mississippi,723,185,2958409,24.44,6.25,0.255878284923928,3.908108108108108
2021,Mississippi,543,233,2949582,18.41,7.9,0.429097605893186,2.330472103004292
2016,Missouri,480,141,6091384,7.88,2.31,0.29375,3.404255319148936
2017,Missouri,531,147,6111382,8.69,2.41,0.2768361581920904,3.612244897959184
2018,Missouri,458,178,6125986,7.48,2.91,0.388646288209607,2.5730337078651684
2019,Missouri,625,233,6140475,10.18,3.79,0.3728,2.682403433476394
2020,Missouri,946,269,6154426,15.37,4.37,0.2843551797040169,3.516728624535316
2021,Missouri,1103,240,6170393,17.88,3.89,0.2175883952855847,4.595833333333333
2016,Montana,75,16,1042137,7.2,1.54,0.2133333333333333,4.6875
2017,Montana,129,27,1053862,12.24,2.56,0.2093023255813953,4.777777777777778
2018,Montana,98,21,1061818,9.23,1.98,0.2142857142857142,4.666666666666667
2019,Montana,91,38,1070123,8.5,3.55,0.4175824175824176,2.3947368421052637
2020,Montana,698,31,1087211,64.2,2.85,0.0444126074498567,22.516129032258064
2021,Montana,133,24,1106366,12.02,2.17,0.1804511278195488,5.541666666666667
2016,Nebraska,167,47,1906483,8.76,2.47,0.281437125748503,3.5531914893617023
2017,Nebraska,273,69,1916998,14.24,3.6,0.2527472527472527,3.9565217391304346
2018,Nebraska,251,81,1925512,13.04,4.21,0.3227091633466135,3.098765432098765
2019,Nebraska,286,63,1932571,14.8,3.26,0.2202797202797203,4.53968253968254
2020,Nebraska,251,72,1963273,12.78,3.67,0.2868525896414343,3.486111111111111
2021,Nebraska,240,57,1964253,12.22,2.9,0.2375,4.2105263157894735
2016,Nevada,340,175,2919555,11.65,5.99,0.5147058823529411,1.9428571428571428
2017,Nevada,394,212,2972097,13.26,7.13,0.5380710659898477,1.858490566037736
2018,Nevada,507,313,3030725,16.73,10.33,0.6173570019723866,1.6198083067092652
2019,Nevada,446,239,3090771,14.43,7.73,0.5358744394618834,1.8661087866108788
2020,Nevada,586,191,3115840,18.81,6.13,0.325938566552901,3.068062827225131
2021,Nevada,571,201,3146632,18.15,6.39,0.3520140105078809,2.8407960199004973
2016,New Hampshire,81,13,1343694,6.03,0.97,0.1604938271604938,6.230769230769231
2017,New Hampshire,42,5,1350395,3.11,0.37,0.119047619047619,8.4
2018,New Hampshire,41,12,1355064,3.03,0.89,0.2926829268292683,3.4166666666666665
2019,New Hampshire,85,15,1360783,6.25,1.1,0.1764705882352941,5.666666666666667
2020,New Hampshire,44,17,1378702,3.19,1.23,0.3863636363636363,2.588235294117647
2021,New Hampshire,68,24,1387494,4.9,1.73,0.3529411764705882,2.833333333333333
2016,New Jersey,594,198,8873584,6.69,2.23,0.3333333333333333,3.0
2017,New Jersey,515,168,8888147,5.79,1.89,0.3262135922330097,3.0654761904761907
2018,New Jersey,471,221,8891730,5.3,2.49,0.4692144373673036,2.1312217194570136
2019,New Jersey,491,247,8891258,5.52,2.78,0.5030549898167006,1.9878542510121455
2020,New Jersey,621,146,9272392,6.7,1.57,0.2351046698872785,4.253424657534247
2021,New Jersey,567,151,9269175,6.12,1.63,0.2663139329805996,3.7549668874172175
2016,New Mexico,198,40,2092555,9.46,1.91,0.202020202020202,4.95
2017,New Mexico,209,40,2092844,9.99,1.91,0.1913875598086124,5.225
2018,New Mexico,236,70,2093754,11.27,3.34,0.2966101694915254,3.3714285714285714
2019,New Mexico,297,64,2099634,14.15,3.05,0.2154882154882154,4.640625
2020,New Mexico,374,53,2118488,17.65,2.5,0.141711229946524,7.056603773584905
2021,New Mexico,364,59,2116950,17.19,2.79,0.1620879120879121,6.169491525423729
2016,New York,1185,334,19636391,6.03,1.7,0.2818565400843882,3.5479041916167664
2017,New York,1113,343,19593849,5.68,1.75,0.3081761006289308,3.2448979591836733
2018,New York,1026,491,19544098,5.25,2.51,0.4785575048732943,2.089613034623218
2019,New York,1256,458,19463131,6.45,2.35,0.3646496815286624,2.7423580786026203
2020,New York,1764,417,20104710,8.77,2.07,0.2363945578231292,4.23021582733813
2021,New York,1662,404,19854526,8.37,2.03,0.2430806257521059,4.1138613861386135
2016,North Carolina,753,188,10161802,7.41,1.85,0.249667994687915,4.00531914893617
2017,North Carolina,1103,234,10275758,10.73,2.28,0.2121486854034451,4.713675213675214
2018,North Carolina,910,286,10391358,8.76,2.75,0.3142857142857143,3.1818181818181817
2019,North Carolina,1278,268,10501384,12.17,2.55,0.2097026604068857,4.768656716417911
2020,North Carolina,1107,261,10453812,10.59,2.5,0.2357723577235772,4.241379310344827
2021,North Carolina,922,223,10567100,8.73,2.11,0.2418655097613883,4.134529147982063
2016,North Dakota,69,19,756114,9.13,2.51,0.2753623188405797,3.631578947368421
2017,North Dakota,59,24,756755,7.8,3.17,0.4067796610169492,2.458333333333333
2018,North Dakota,53,14,760062,6.97,1.84,0.2641509433962264,3.7857142857142856
2019,North Dakota,53,22,763724,6.94,2.88,0.4150943396226415,2.409090909090909
2020,North Dakota,72,21,779563,9.24,2.69,0.2916666666666667,3.4285714285714284
2021,North Dakota,100,19,777982,12.85,2.44,0.19,5.2631578947368425
2016,Ohio,1453,378,11640060,12.48,3.25,0.2601514108740537,3.843915343915344
2017,Ohio,1331,382,11665706,11.41,3.27,0.2870022539444027,3.4842931937172774
2018,Ohio,1253,446,11680892,10.73,3.82,0.3559457302474062,2.809417040358744
2019,Ohio,1260,448,11696507,10.77,3.83,0.3555555555555555,2.8125
2020,Ohio,1099,311,11798292,9.31,2.64,0.2829845313921747,3.533762057877813
2021,Ohio,1161,291,11765227,9.87,2.47,0.2506459948320413,3.989690721649485
2016,Oklahoma,296,92,3928143,7.54,2.34,0.3108108108108108,3.217391304347826
2017,Oklahoma,276,82,3933602,7.02,2.08,0.2971014492753623,3.365853658536585
2018,Oklahoma,304,122,3943488,7.71,3.09,0.4013157894736842,2.4918032786885247
2019,Oklahoma,333,111,3960676,8.41,2.8,0.3333333333333333,3.0
2020,Oklahoma,406,112,3965234,10.24,2.82,0.2758620689655172,3.625
2021,Oklahoma,438,99,3991634,10.97,2.48,0.2260273972602739,4.424242424242424
2016,Oregon,330,79,4093271,8.06,1.93,0.2393939393939393,4.177215189873418
2017,Oregon,373,85,4147294,8.99,2.05,0.227882037533512,4.388235294117648
2018,Oregon,428,135,4183538,10.23,3.23,0.3154205607476635,3.1703703703703705
2019,Oregon,531,134,4216116,12.59,3.18,0.2523540489642185,3.962686567164179
2020,Oregon,549,139,4245044,12.93,3.27,0.2531876138433515,3.949640287769784
2021,Oregon,485,160,4256465,11.39,3.76,0.3298969072164948,3.03125
2016,Pennsylvania,681,161,12788468,5.33,1.26,0.2364170337738619,4.229813664596273
2017,Pennsylvania,727,213,12794679,5.68,1.66,0.2929848693259972,3.4131455399061035
2018,Pennsylvania,675,271,12809107,5.27,2.12,0.4014814814814815,2.4907749077490773
2019,Pennsylvania,820,272,12798883,6.41,2.13,0.3317073170731707,3.014705882352941
2020,Pennsylvania,990,220,12995477,7.62,1.69,0.2222222222222222,4.5
2021,Pennsylvania,1080,192,13013614,8.3,1.48,0.1777777777777777,5.625
2016,Rhode Island,41,8,1057816,3.88,0.76,0.1951219512195122,5.125
2017,Rhode Island,36,11,1056554,3.41,1.04,0.3055555555555556,3.272727272727273
2018,Rhode Island,24,19,1059338,2.27,1.79,0.7916666666666666,1.263157894736842
2019,Rhode Island,37,15,1058158,3.5,1.42,0.4054054054054054,2.466666666666667
2020,Rhode Island,87,10,1096444,7.93,0.91,0.1149425287356321,8.7
2021,Rhode Island,38,16,1097092,3.46,1.46,0.4210526315789473,2.375
2016,South Carolina,338,79,4963031,6.81,1.59,0.2337278106508875,4.278481012658228
2017,South Carolina,475,120,5027102,9.45,2.39,0.2526315789473684,3.9583333333333335
2018,South Carolina,357,154,5091702,7.01,3.02,0.4313725490196078,2.3181818181818183
2019,South Carolina,538,138,5157702,10.43,2.68,0.2565055762081784,3.898550724637681
2020,South Carolina,778,124,5132151,15.16,2.42,0.1593830334190231,6.274193548387097
2021,South Carolina,488,124,5193848,9.4,2.39,0.2540983606557377,3.935483870967742
2016,South Dakota,112,19,863693,12.97,2.2,0.1696428571428571,5.894736842105263
2017,South Dakota,92,18,873732,10.53,2.06,0.1956521739130435,5.111111111111111
2018,South Dakota,66,22,879386,7.51,2.5,0.3333333333333333,3.0
2019,South Dakota,94,26,887127,10.6,2.93,0.2765957446808511,3.615384615384616
2020,South Dakota,59,24,887852,6.65,2.7,0.4067796610169492,2.458333333333333
2021,South Dakota,100,29,896299,11.16,3.24,0.29,3.4482758620689653
2016,Tennessee,391,109,6651277,5.88,1.64,0.278772378516624,3.5871559633027523
2017,Tennessee,449,114,6714748,6.69,1.7,0.2538975501113585,3.93859649122807
2018,Tennessee,377,169,6778180,5.56,2.49,0.4482758620689655,2.230769230769231
2019,Tennessee,592,181,6830325,8.67,2.65,0.3057432432432432,3.270718232044199
2020,Tennessee,520,163,6926091,7.51,2.35,0.3134615384615384,3.1901840490797544
2021,Tennessee,525,152,6963709,7.54,2.18,0.2895238095238095,3.4539473684210527
2016,Texas,2397,681,27914064,8.59,2.44,0.2841051314142678,3.5198237885462555
2017,Texas,2508,816,28291024,8.87,2.88,0.3253588516746411,3.073529411764706
2018,Texas,2310,1001,28624564,8.07,3.5,0.4333333333333333,2.3076923076923075
2019,Texas,2684,1089,28986794,9.26,3.76,0.4057377049180328,2.4646464646464645
2020,Texas,3510,993,29234361,12.01,3.4,0.2829059829059829,3.5347432024169185
2021,Texas,3534,917,29561286,11.95,3.1,0.2594793435200905,3.853871319520175
2016,Utah,176,42,3044241,5.78,1.38,0.2386363636363636,4.190476190476191
2017,Utah,138,35,3103540,4.45,1.13,0.2536231884057971,3.942857142857143
2018,Utah,189,74,3155153,5.99,2.35,0.3915343915343915,2.554054054054054
2019,Utah,227,90,3203383,7.09,2.81,0.3964757709251101,2.522222222222222
2020,Utah,182,65,3283982,5.54,1.98,0.3571428571428571,2.8
2021,Utah,319,78,3339284,9.55,2.34,0.2445141065830721,4.089743589743589
2016,Vermont,44,6,624366,7.05,0.96,0.1363636363636363,7.333333333333333
2017,Vermont,54,14,625132,8.64,2.24,0.2592592592592592,3.857142857142857
2018,Vermont,87,14,624802,13.92,2.24,0.160919540229885,6.214285714285714
2019,Vermont,67,9,624046,10.74,1.44,0.1343283582089552,7.444444444444445
2020,Vermont,33,13,642936,5.13,2.02,0.3939393939393939,2.5384615384615383
2021,Vermont,32,14,647093,4.95,2.16,0.4375,2.2857142857142856
2016,Virginia,680,156,8417651,8.08,1.85,0.2294117647058823,4.358974358974359
2017,Virginia,622,161,8471011,7.34,1.9,0.2588424437299035,3.8633540372670807
2018,Virginia,578,199,8510920,6.79,2.34,0.3442906574394463,2.9045226130653266
2019,Virginia,604,188,8556642,7.06,2.2,0.3112582781456953,3.2127659574468086
2020,Virginia,576,120,8637193,6.67,1.39,0.2083333333333333,4.8
2021,Virginia,583,140,8657348,6.73,1.62,0.2401372212692967,4.164285714285715
2016,Washington,607,170,7299961,8.32,2.33,0.2800658978583196,3.570588235294118
2017,Washington,596,170,7427951,8.02,2.29,0.285234899328859,3.5058823529411764
2018,Washington,650,227,7526793,8.64,3.02,0.3492307692307692,2.8634361233480177
2019,Washington,903,269,7614024,11.86,3.53,0.2978959025470653,3.356877323420074
2020,Washington,1087,239,7724566,14.07,3.09,0.2198712051517939,4.548117154811716
2021,Washington,955,233,7741433,12.34,3.01,0.243979057591623,4.098712446351931
2016,West Virginia,53,21,1832435,2.89,1.15,0.3962264150943396,2.523809523809524
2017,West Virginia,63,16,1818683,3.46,0.88,0.2539682539682539,3.9375
2018,West Virginia,101,39,1805953,5.59,2.16,0.3861386138613861,2.58974358974359
2019,West Virginia,109,38,1795263,6.07,2.12,0.3486238532110092,2.8684210526315788
2020,West Virginia,96,40,1791562,5.36,2.23,0.4166666666666667,2.4
2021,West Virginia,112,39,1785249,6.27,2.18,0.3482142857142857,2.871794871794872
2016,Wisconsin,343,66,5775170,5.94,1.14,0.1924198250728863,5.196969696969697
2017,Wisconsin,301,95,5793147,5.2,1.64,0.3156146179401993,3.168421052631579
2018,Wisconsin,416,136,5809319,7.16,2.34,0.3269230769230769,3.0588235294117645
2019,Wisconsin,329,96,5824581,5.65,1.65,0.2917933130699088,3.427083333333333
2020,Wisconsin,335,98,5896700,5.68,1.66,0.2925373134328358,3.4183673469387754
2021,Wisconsin,390,95,5879978,6.63,1.62,0.2435897435897435,4.105263157894737
2016,Wyoming,47,14,585243,8.03,2.39,0.2978723404255319,3.357142857142857
2017,Wyoming,49,13,579994,8.45,2.24,0.2653061224489796,3.769230769230769
2018,Wyoming,74,12,579054,12.78,2.07,0.1621621621621621,6.166666666666667
2019,Wyoming,40,12,580116,6.9,2.07,0.3,3.333333333333333
2020,Wyoming,47,11,577664,8.14,1.9,0.2340425531914893,4.2727272727272725
2021,Wyoming,68,13,579548,11.73,2.24,0.1911764705882352,5.230769230769231
